DataMovimento;CodLinha;NomeLinha;TipoPassageiro;NomePassageiro;Demanda
01/02/2022;1;Terminal Antônio Bezerra                ;3;Estudante;35
01/02/2022;1;Terminal Antônio Bezerra                ;4;Gratuidade Idoso;2884
01/02/2022;1;Terminal Antônio Bezerra                ;5;Vale-transporte (vermelho);8
01/02/2022;1;Terminal Antônio Bezerra                ;11;Idoso Identificação;411
01/02/2022;1;Terminal Antônio Bezerra                ;12;Estudante com débito;1194
01/02/2022;1;Terminal Antônio Bezerra                ;16;Grat. Deficiente - S/Acomp;11
01/02/2022;1;Terminal Antônio Bezerra                ;31;Vt. Institucional;1
01/02/2022;1;Terminal Antônio Bezerra                ;32;Gratuidade Infantil;1
01/02/2022;1;Terminal Antônio Bezerra                ;37;VT Beneficio Piloto BUM;136
01/02/2022;2;Catraca Móvel/Terminal/Antônio Bezerra;2;Popular;203
01/02/2022;2;Catraca Móvel/Terminal/Antônio Bezerra;4;Gratuidade Idoso;85
01/02/2022;2;Catraca Móvel/Terminal/Antônio Bezerra;11;Idoso Identificação;50
01/02/2022;2;Catraca Móvel/Terminal/Antônio Bezerra;12;Estudante com débito;77
01/02/2022;2;Catraca Móvel/Terminal/Antônio Bezerra;16;Grat. Deficiente - S/Acomp;2
01/02/2022;3;Terminal Parangaba I                    ;2;Popular;111
01/02/2022;3;Terminal Parangaba I                    ;3;Estudante;220
01/02/2022;3;Terminal Parangaba I                    ;4;Gratuidade Idoso;5735
01/02/2022;3;Terminal Parangaba I                    ;5;Vale-transporte (vermelho);13
01/02/2022;3;Terminal Parangaba I                    ;6;Crachá Empresas;7
01/02/2022;3;Terminal Parangaba I                    ;9;Vt. Identificação;78
01/02/2022;3;Terminal Parangaba I                    ;11;Idoso Identificação;1067
01/02/2022;3;Terminal Parangaba I                    ;12;Estudante com débito;2492
01/02/2022;3;Terminal Parangaba I                    ;15;Projovem;19
01/02/2022;3;Terminal Parangaba I                    ;16;Grat. Deficiente - S/Acomp;155
01/02/2022;3;Terminal Parangaba I                    ;31;Vt. Institucional;2
01/02/2022;3;Terminal Parangaba I                    ;32;Gratuidade Infantil;2
01/02/2022;3;Terminal Parangaba I                    ;37;VT Beneficio Piloto BUM;38
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;3;Estudante;6
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;4;Gratuidade Idoso;758
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;5;Vale-transporte (vermelho);3
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;9;Vt. Identificação;14
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;11;Idoso Identificação;267
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;12;Estudante com débito;796
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;15;Projovem;8
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;16;Grat. Deficiente - S/Acomp;147
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;31;Vt. Institucional;3
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;32;Gratuidade Infantil;2
01/02/2022;4;Messejana/Papicu/Cambeba/TJ;37;VT Beneficio Piloto BUM;3
01/02/2022;5;Terminal Lagoa                          ;3;Estudante;17
01/02/2022;5;Terminal Lagoa                          ;4;Gratuidade Idoso;553
01/02/2022;5;Terminal Lagoa                          ;5;Vale-transporte (vermelho);4
01/02/2022;5;Terminal Lagoa                          ;11;Idoso Identificação;167
01/02/2022;5;Terminal Lagoa                          ;12;Estudante com débito;387
01/02/2022;5;Terminal Lagoa                          ;15;Projovem;5
01/02/2022;5;Terminal Lagoa                          ;16;Grat. Deficiente - S/Acomp;17
01/02/2022;5;Terminal Lagoa                          ;37;VT Beneficio Piloto BUM;1
01/02/2022;6;Terminal Messejana                      ;4;Gratuidade Idoso;2046
01/02/2022;6;Terminal Messejana                      ;5;Vale-transporte (vermelho);12
01/02/2022;6;Terminal Messejana                      ;6;Crachá Empresas;1
01/02/2022;6;Terminal Messejana                      ;11;Idoso Identificação;693
01/02/2022;6;Terminal Messejana                      ;12;Estudante com débito;1514
01/02/2022;6;Terminal Messejana                      ;16;Grat. Deficiente - S/Acomp;70
01/02/2022;6;Terminal Messejana                      ;31;Vt. Institucional;1
01/02/2022;6;Terminal Messejana                      ;37;VT Beneficio Piloto BUM;14
01/02/2022;7;Terminal Cj Ceará                       ;2;Popular;32
01/02/2022;7;Terminal Cj Ceará                       ;3;Estudante;23
01/02/2022;7;Terminal Cj Ceará                       ;4;Gratuidade Idoso;776
01/02/2022;7;Terminal Cj Ceará                       ;5;Vale-transporte (vermelho);33
01/02/2022;7;Terminal Cj Ceará                       ;11;Idoso Identificação;194
01/02/2022;7;Terminal Cj Ceará                       ;12;Estudante com débito;434
01/02/2022;7;Terminal Cj Ceará                       ;15;Projovem;8
01/02/2022;7;Terminal Cj Ceará                       ;16;Grat. Deficiente - S/Acomp;54
01/02/2022;7;Terminal Cj Ceará                       ;31;Vt. Institucional;26
01/02/2022;7;Terminal Cj Ceará                       ;37;VT Beneficio Piloto BUM;6
01/02/2022;8;Terminal Papicu                         ;2;Popular;74
01/02/2022;8;Terminal Papicu                         ;3;Estudante;43
01/02/2022;8;Terminal Papicu                         ;4;Gratuidade Idoso;992
01/02/2022;8;Terminal Papicu                         ;5;Vale-transporte (vermelho);3
01/02/2022;8;Terminal Papicu                         ;9;Vt. Identificação;25
01/02/2022;8;Terminal Papicu                         ;11;Idoso Identificação;173
01/02/2022;8;Terminal Papicu                         ;12;Estudante com débito;530
01/02/2022;8;Terminal Papicu                         ;15;Projovem;5
01/02/2022;8;Terminal Papicu                         ;16;Grat. Deficiente - S/Acomp;15
01/02/2022;8;Terminal Papicu                         ;32;Gratuidade Infantil;1
01/02/2022;8;Terminal Papicu                         ;37;VT Beneficio Piloto BUM;9
01/02/2022;10;Terminal Siqueira                       ;3;Estudante;1
